,rewards
750,-6.875
751,-4.375
752,-2.8125
753,-4.0625
754,-6.875
755,-0.0
756,-4.6875
757,-5.3125
758,-0.0
759,-6.875
760,-11.5625
761,-3.4375
762,-11.5625
763,-6.5625
764,-0.9375
765,-4.375
766,-0.0
767,-0.0
768,-0.0
769,-6.875
770,-11.5625
771,-0.9375
772,-0.3125
773,-0.9375
774,-0.0
775,-8.75
776,-7.1875
777,-7.5
778,-6.875
779,-2.8125
780,-6.875
781,-0.0
782,-1.5625
783,-7.1875
784,-9.0625
785,-11.5625
786,-2.5
787,-8.75
788,-0.0
789,-0.625
790,-2.8125
791,-2.5
792,-3.125
793,-2.1875
794,-6.25
795,-1.5625
796,-5.0
797,-4.0625
798,-0.0
799,-6.875
800,-3.4375
801,-0.0
802,-12.8125
803,-0.0
804,-2.1875
805,-0.0
806,-4.375
807,-4.375
808,-4.0625
809,-6.875
810,-5.0
811,-6.25
812,-4.0625
813,-0.3125
814,-0.0
815,-0.0
816,-0.0
817,-0.3125
818,-8.75
819,-5.3125
820,-3.125
821,-5.3125
822,-2.1875
823,-0.9375
824,-1.25
825,-3.75
826,-2.1875
827,-2.8125
828,-4.0625
829,-2.5
830,-2.5
831,-0.0
832,-4.6875
833,-3.4375
834,-8.125
835,-5.9375
836,-3.4375
837,-3.4375
838,-4.6875
839,-0.0
840,-6.875
841,-1.875
842,-10.625
843,-7.5
844,-0.0
845,-2.1875
846,-8.125
847,-0.625
848,-11.5625
849,-3.75
850,-6.25
851,-0.0
852,-2.5
853,-0.0
854,-2.5
855,-11.875
856,-0.0
857,-8.125
858,-6.25
859,-3.75
860,-6.875
861,-2.5
862,-1.5625
863,-0.0
864,-0.0
865,-5.9375
866,-0.0
867,-7.1875
868,-0.0
869,-1.875
870,-0.0
871,-0.0
872,-3.125
873,-3.4375
874,-12.1875
875,-7.8125
876,-0.0
877,-2.8125
878,-0.0
879,-2.1875
880,-10.3125
881,-12.8125
882,-5.3125
883,-3.75
884,-0.0
885,-2.8125
886,-9.6875
887,-3.125
888,-3.125
889,-5.625
890,-1.25
891,-4.0625
892,-7.5
893,-4.0625
894,-6.25
895,-0.0
896,-0.0
897,-2.8125
898,-0.0
899,-10.9375
900,-8.75
901,-0.0
902,-5.0
903,-0.0
904,-7.1875
905,-9.0625
906,-2.1875
907,-9.375
908,-5.3125
909,-3.75
910,-7.5
911,-2.8125
912,-0.0
913,-3.4375
914,-10.0
915,-2.8125
916,-5.625
917,-0.0
918,-4.0625
919,-6.5625
920,-1.875
921,-7.1875
922,-0.0
923,-2.5
924,-2.5
925,-0.0
926,-5.0
927,-11.875
928,-3.125
929,-7.8125
930,-0.0
931,-5.3125
932,-0.0
933,-3.4375
934,-7.1875
935,-8.125
936,-6.875
937,-7.8125
938,-0.0
939,-3.4375
940,-5.3125
941,-0.0
942,-10.625
943,-6.875
944,-3.75
945,-0.625
946,-0.0
947,-0.0
948,-7.1875
949,-1.5625
950,-7.5
951,-0.3125
952,-3.4375
953,-6.875
954,-1.5625
955,-10.3125
956,-5.3125
957,-1.875
958,-2.8125
959,-2.8125
960,-2.8125
961,-4.6875
962,-6.5625
963,-3.4375
964,-10.0
965,-0.0
966,-5.0
967,-0.0
968,-2.8125
969,-9.375
970,-6.25
971,-11.875
972,-1.5625
973,-5.625
974,-0.0
975,-0.0
976,-2.8125
977,-0.0
978,-7.8125
979,-1.5625
980,-2.1875
981,-8.4375
982,-3.4375
983,-3.75
984,-11.5625
985,-3.125
986,-5.625
987,-0.0
988,-6.5625
989,-6.25
990,-0.0
991,-9.6875
992,-4.6875
993,-5.9375
994,-2.1875
995,-12.5
996,-3.75
997,-5.0
998,-7.8125
999,-2.1875
1000,-2.1875
1001,-0.0
1002,-5.625
1003,-6.5625
1004,-0.625
1005,-4.6875
1006,-4.0625
1007,-3.75
1008,-1.875
1009,-5.3125
1010,-5.9375
1011,-3.125
1012,-6.875
1013,-3.125
1014,-2.8125
1015,-1.875
1016,-5.0
1017,-5.0
1018,-9.0625
1019,-4.6875
1020,-7.5
1021,-3.125
1022,-6.25
1023,-2.1875
1024,-6.875
1025,-0.0
1026,-9.0625
1027,-2.5
1028,-1.25
1029,-8.125
1030,-4.0625
1031,-8.75
1032,-1.875
1033,-2.1875
1034,-3.125
1035,-1.875
1036,-9.0625
1037,-5.0
1038,-0.0
1039,-2.5
1040,-0.0
1041,-2.5
1042,-3.4375
1043,-3.125
1044,-6.25
1045,-5.0
1046,-0.0
1047,-0.0
1048,-2.8125
1049,-0.0
1050,-3.4375
1051,-11.25
1052,-5.0
1053,-2.5
1054,-1.5625
1055,-3.4375
1056,-3.4375
1057,-4.0625
1058,-3.75
1059,-2.8125
1060,-5.625
1061,-0.0
1062,-0.0
1063,-6.25
1064,-3.4375
1065,-0.9375
1066,-11.5625
1067,-0.0
1068,-11.5625
1069,-4.0625
1070,-0.0
1071,-6.875
1072,-0.0
1073,-2.1875
1074,-6.875
1075,-1.25
1076,-8.125
1077,-0.0
1078,-0.0
1079,-4.6875
1080,-0.0
1081,-0.9375
1082,-12.1875
1083,-3.125
1084,-11.5625
1085,-4.0625
1086,-2.1875
1087,-8.4375
1088,-6.25
1089,-5.3125
1090,-3.4375
1091,-0.0
1092,-0.0
1093,-0.0
1094,-4.375
1095,-5.0
1096,-11.5625
1097,-1.875
1098,-0.0
1099,-3.4375
1100,-1.25
1101,-5.9375
1102,-5.625
1103,-4.0625
1104,-6.25
1105,-4.0625
1106,-0.0
1107,-3.75
1108,-0.0
1109,-2.8125
1110,-5.9375
1111,-4.0625
1112,-12.5
1113,-6.5625
1114,-0.0
1115,-3.125
1116,-3.75
1117,-5.0
1118,-6.875
1119,-0.9375
1120,-2.5
1121,-5.625
1122,-3.75
1123,-9.0625
1124,-4.0625
1125,-0.0
1126,-9.375
1127,-0.0
1128,-4.6875
1129,-4.6875
1130,-0.0
1131,-6.25
1132,-9.0625
1133,-0.0
1134,-4.375
1135,-2.5
1136,-0.0
1137,-9.0625
1138,-0.0
1139,-6.25
1140,-2.5
1141,-1.5625
1142,-6.875
1143,-1.5625
1144,-1.5625
1145,-0.0
1146,-0.0
1147,-5.3125
1148,-5.0
1149,-11.5625
1150,-1.5625
1151,-3.125
1152,-0.0
1153,-2.1875
1154,-9.0625
1155,-0.3125
1156,-10.3125
1157,-2.5
1158,-0.0
1159,-7.1875
1160,-0.0
1161,-4.6875
1162,-0.9375
1163,-3.125
1164,-7.5
1165,-4.375
1166,-10.0
1167,-5.625
1168,-3.4375
1169,-3.75
1170,-3.4375
1171,-0.9375
1172,-2.1875
1173,-5.0
1174,-1.5625
1175,-4.375
1176,-0.3125
1177,-0.0
1178,-12.5
1179,-4.0625
1180,-5.0
1181,-9.0625
1182,-2.8125
1183,-2.8125
1184,-4.375
1185,-2.1875
1186,-6.5625
1187,-10.3125
1188,-0.0
1189,-3.125
1190,-2.1875
1191,-3.125
1192,-10.0
1193,-0.0
1194,-10.0
1195,-8.125
1196,-0.9375
1197,-7.1875
1198,-3.125
1199,-3.125
1200,-11.875
1201,-0.0
1202,-0.0
1203,-4.375
1204,-2.1875
1205,-7.8125
1206,-0.0
1207,-8.125
1208,-5.0
1209,-0.0
1210,-2.8125
1211,-2.5
1212,-2.5
1213,-2.1875
1214,-7.1875
1215,-5.9375
1216,-5.625
1217,-7.5
1218,-0.0
1219,-1.5625
1220,-2.8125
1221,-2.5
1222,-6.875
1223,-8.75
1224,-4.6875
1225,-4.6875
1226,-2.8125
1227,-8.125
1228,-1.25
1229,-3.125
1230,-1.5625
1231,-5.0
1232,-2.8125
1233,-2.5
1234,-7.8125
1235,-5.0
1236,-0.625
1237,-6.875
1238,-0.0
1239,-3.125
1240,-7.1875
1241,-0.0
1242,-9.0625
1243,-5.9375
1244,-3.4375
1245,-3.75
1246,-3.125
1247,-0.0
1248,-0.0
1249,-6.875
1250,-3.75
1251,-4.6875
1252,-11.25
1253,-0.0
1254,-0.625
1255,-5.625
1256,-2.8125
1257,-4.0625
1258,-0.0
1259,-2.1875
1260,-5.3125
1261,-3.125
1262,-3.125
1263,-9.0625
1264,-3.4375
1265,-0.3125
1266,-5.9375
1267,-2.1875
1268,-2.5
1269,-3.4375
1270,-0.0
1271,-5.9375
1272,-4.375
1273,-3.4375
1274,-11.5625
1275,-3.4375
1276,-2.1875
1277,-1.875
1278,-2.5
1279,-1.875
